age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
59,?,99585,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,22,0,49,United-States,>50K
42,Self-emp-inc,32181,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,-1,40,United-States,>50K
39,Local-gov,200841,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,12,0,40,United-States,<=50K
32,Private,187182,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Male,-20,0,21,United-States,<=50K
28,Private,238377,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,17,-1,29,Hungary,<=50K
22,Private,31060,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,-8,-1,40,United-States,<=50K
40,Private,97139,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,-14,-1,40,United-States,>50K
30,Private,296480,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,4070,-1,40,United-States,<=50K
20,Private,418168,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Female,-26,-1,40,Yugoslavia,<=50K
27,Private,262038,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,13,0,40,United-States,<=50K
37,Private,78353,1st-4th,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,-14,0,45,Dominican-Republic,<=50K
51,Private,293134,Masters,14,Never-married,Machine-op-inspct,Other-relative,White,Female,28,1,58,South,<=50K
34,Private,50224,HS-grad,9,Divorced,?,Unmarried,Black,Female,20,0,56,United-States,<=50K
41,Local-gov,186964,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,3255,-1,12,United-States,<=50K
35,Private,38831,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-50,1847,40,United-States,>50K
36,Private,120333,Some-college,2,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,-8,-1,40,El-Salvador,<=50K
17,Private,85037,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,-5,0,40,United-States,<=50K
41,Private,183144,12th,8,Never-married,Tech-support,Not-in-family,White,Male,14,0,31,Mexico,<=50K
24,Private,30139,9th,9,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,-1,-2,40,Vietnam,<=50K
33,Private,32739,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,4111,0,56,United-States,<=50K
48,Private,51202,7th-8th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Hungary,>50K
20,Federal-gov,191005,5th-6th,3,Never-married,Sales,Other-relative,White,Female,-18,0,21,Greece,<=50K
44,Private,173275,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,-3,0,9,United-States,<=50K
41,Local-gov,79532,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Male,13,1,45,United-States,>50K
43,Self-emp-not-inc,195027,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,16,0,40,United-States,>50K
45,Private,262019,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7666,1,66,United-States,>50K
19,Private,136262,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,21,-1,30,Poland,<=50K
33,Private,165425,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-23,0,40,United-States,<=50K
62,?,269191,5th-6th,2,Married-civ-spouse,?,Husband,Black,Male,-1,0,7,Mexico,<=50K
39,Private,145380,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,23,-1,40,United-States,>50K
